client_id,first_name,last_name,age,email,phone,city,region,postal_code,registration_date,purchase_date,product,category,quantity,unit_price,total_purchase,payment_method,order_status,rating
CLI0056,Marianela,Cabanillas,70,ezequiel16@example.net,+34 928 13 90 71,Valladolid,Castile and León,12234,2022-03-26,2023-04-06,Book,Culture,3,25.09,75.27,PayPal,Completed,
CLI0057,Eufemia,Cózar,48,hmedina@example.com,+34941695224,Bilbao,Basque Country,47638,2023-06-23,2023-09-08,Jacket,Clothing,1,72.1,72.1,Credit card,Pending,5
CLI0058,Diana,Borrell,43,cecilio02@example.net,+34920579503,Seville,Andalusia,15964,2023-09-03,2024-05-21,Jacket,Clothing,4,157.75,631.0,PayPal,Completed,1
CLI0059,Dolores,Tolosa,51,dgamez@example.org,+34946911901,Palma,Balearic Islands,22848,2023-10-17,2024-12-13,Backpack,Accessories,2,54.01,108.02,Credit card,Cancelled,
CLI0060,Antonio,Múñiz,60,icervera@example.org,+34 942 50 09 62,Las Palmas,Canary Islands,03998,2022-09-02,2024-04-20,Watch,Accessories,2,104.61,209.22,Cash,Cancelled,4
CLI0061,Eva María,Cuéllar,71,acueto@example.com,+34 841 24 65 98,Gijon,Asturias,12600,2021-09-15,2024-03-12,Monitor,Electronics,5,679.75,3398.75,Cash,Pending,4
CLI0062,Gustavo,Rojas,35,jmachado@example.org,+34700009842,Valladolid,Castile and León,15320,2022-12-27,2024-10-14,Keyboard,Electronics,2,61.47,122.94,Cash,Pending,3
CLI0063,Natalia,Jurado,35,agullocintia@example.org,+34803 07 50 34,Malaga,Andalusia,12221,2022-06-10,2023-08-29,Keyboard,Electronics,3,32.4,97.2,Bank transfer,Cancelled,
CLI0064,Gloria,Malo,31,osoriovinicio@example.org,+34723441048,Madrid,Community of Madrid,43441,2023-01-04,2024-12-24,Shoes,Clothing,2,65.44,130.88,Bizum,Pending,4
CLI0065,Emiliana,Ripoll,75,trinidadsoria@example.com,+34821873898,Valladolid,Castile and León,47862,2021-09-11,2024-02-03,Headphones,Electronics,4,49.93,199.72,Cash,Completed,5
CLI0066,Encarnita,Gomila,66,soledad75@example.net,+34800198153,Murcia,Region of Murcia,31093,2022-08-16,2023-11-02,Headphones,Electronics,3,182.63,547.89,Bizum,Cancelled,5
CLI0067,Horacio,Uriarte,32,claveroalejo@example.net,+34 877822191,Zaragoza,Aragon,05674,2023-07-09,2024-05-14,Backpack,Accessories,2,68.26,136.52,Bizum,Pending,
CLI0068,Maximiliano,Marín,71,garcesbelen@example.net,+34874 365 523,Palma,Balearic Islands,13575,2021-11-24,2023-06-19,Camera,Electronics,4,868.87,3475.48,PayPal,Cancelled,4
CLI0069,Priscila,Jáuregui,59,luiscisneros@example.net,+34 861 98 37 17,Murcia,Region of Murcia,10138,2022-10-16,2023-03-27,Monitor,Electronics,1,516.85,516.85,PayPal,Pending,
CLI0070,Roque,Prado,38,llobetclaudio@example.com,+34980 626 163,Malaga,Andalusia,32339,2021-10-18,2024-04-10,Dress,Clothing,2,64.12,128.24,Bizum,Completed,4
CLI0071,Artemio,Aguirre,65,jordan10@example.net,+34 944531712,Las Palmas,Canary Islands,51239,2021-08-15,2023-01-20,Dress,Clothing,4,105.14,420.56,Credit card,Completed,
CLI0072,Ciríaco,Folch,33,alejo35@example.com,+34 986 30 66 02,Seville,Andalusia,06106,2021-10-03,2023-02-01,Trousers,Clothing,1,67.97,67.97,Credit card,Cancelled,
CLI0073,Alondra,Huguet,31,monica67@example.net,+34 978 88 41 64,Palma,Balearic Islands,37704,2023-09-24,2024-07-31,Shoes,Clothing,1,92.09,92.09,Bank transfer,Completed,
CLI0074,Roberta,Salmerón,37,odalis38@example.com,+34959 87 58 70,Madrid,Community of Madrid,47922,2023-05-16,2023-06-17,Monitor,Electronics,1,776.43,776.43,Cash,Completed,5
CLI0075,Donato,Soto,63,btejada@example.org,+34 800 328 206,Seville,Andalusia,35670,2022-02-15,2024-02-11,Book,Culture,4,32.52,130.08,Credit card,Cancelled,2
CLI0076,Diego,Redondo,56,noemi80@example.net,+34 983 472 325,Valladolid,Castile and León,08374,2023-01-10,2024-12-01,Trousers,Clothing,3,63.35,190.05,Credit card,Cancelled,3
CLI0077,Wálter,Mascaró,50,mcantero@example.net,+34849374204,Alicante,Valencian Community,35935,2022-09-11,2023-03-12,Mouse,Electronics,3,48.55,145.65,Bank transfer,Completed,4
CLI0078,Mariana,Silva,75,pastorcanovas@example.com,+34 902892459,Vigo,Galicia,04707,2021-08-11,2024-10-12,Trousers,Clothing,3,48.84,146.52,Bizum,Completed,5
CLI0079,Carina,Codina,47,juanita06@example.org,+34 976056136,Murcia,Region of Murcia,43488,2021-12-20,2024-05-10,Book,Culture,5,15.29,76.45,Cash,Completed,2
CLI0080,Xiomara,Beltran,33,estradagil@example.org,+34 939502317,Valladolid,Castile and León,45705,2021-10-08,2024-04-06,Watch,Accessories,3,470.58,1411.74,Bizum,Cancelled,4
CLI0081,Georgina,Prado,49,mmelero@example.net,+34 928 77 20 68,Seville,Andalusia,25858,2022-01-05,2023-07-06,Camera,Electronics,3,228.7,686.1,Bank transfer,Completed,5
CLI0082,Luciana,Sanz,51,ulara@example.net,+34 863 50 04 56,Seville,Andalusia,41833,2022-12-22,2023-01-11,Notebook,Culture,5,22.6,113.0,Credit card,Completed,4
CLI0083,Valentín,Julián,63,dnogues@example.com,+34 884 09 19 31,Palma,Balearic Islands,45857,2023-04-13,2024-10-23,Mouse,Electronics,4,78.23,312.92,Bizum,Completed,
CLI0084,Manu,Macías,60,tisern@example.org,+34884 278 600,Bilbao,Basque Country,28439,2022-08-14,2023-11-10,Jacket,Clothing,2,110.66,221.32,Bank transfer,Pending,3
CLI0085,Benita,Villa,40,jerezgeraldo@example.org,+34 974 92 44 34,Cordoba,Andalusia,50850,2022-06-04,2023-12-05,Headphones,Electronics,5,348.92,1744.6,Bizum,Completed,2
CLI0086,Jacobo,Ibarra,65,taguilo@example.com,+34821 283 499,Las Palmas,Canary Islands,08823,2022-10-14,2023-05-03,Trousers,Clothing,3,64.67,194.01,PayPal,Completed,
CLI0087,José María,Nebot,56,manuel81@example.net,+34925 10 09 67,Zaragoza,Aragon,11125,2024-01-31,2024-06-21,Keyboard,Electronics,5,64.24,321.2,Credit card,Completed,
CLI0088,Jaime,Zabala,52,mamen98@example.com,+34744 560 499,Valencia,Valencian Community,51651,2021-07-25,2024-12-26,Camera,Electronics,1,379.44,379.44,Bank transfer,Completed,5
CLI0089,Jose Ignacio,Cañas,73,hmendez@example.com,+34 848574350,Valladolid,Castile and León,23850,2023-11-11,2024-10-15,Dress,Clothing,2,92.77,185.54,Bizum,Completed,5
CLI0090,Fabiana,Marí,29,brobles@example.com,+34 748 23 92 47,Barcelona,Catalonia,45321,2023-11-06,2023-12-15,Dress,Clothing,4,72.25,289.0,Bank transfer,Pending,
CLI0091,Adelina,Isern,58,guadalupe21@example.net,+34 882 163 508,Alicante,Valencian Community,02530,2022-05-22,2024-08-13,Trousers,Clothing,1,47.04,47.04,Credit card,Completed,
CLI0092,Nacio,Peláez,25,lucilaalegria@example.org,+34878349558,Las Palmas,Canary Islands,26434,2022-10-03,2023-09-12,Monitor,Electronics,1,766.93,766.93,Bizum,Cancelled,5
CLI0093,Gema,Porras,46,kpablo@example.org,+34 854 005 709,Zaragoza,Aragon,37787,2022-07-17,2024-04-06,Jacket,Clothing,4,166.35,665.4,Cash,Pending,5
CLI0094,Cebrián,Quirós,58,virgiliogalan@example.org,+34975879671,Seville,Andalusia,30732,2022-05-19,2023-08-01,T-shirt,Clothing,1,28.29,28.29,Bank transfer,Completed,
CLI0095,Prudencia,Guardiola,44,jose-angelalfaro@example.com,+34 986588571,Palma,Balearic Islands,37894,2022-01-30,2023-01-03,Shoes,Clothing,2,100.72,201.44,Cash,Pending,
CLI0096,Heliodoro,Seguí,73,soniabustos@example.org,+34985603511,Palma,Balearic Islands,32260,2023-07-15,2024-12-20,Jacket,Clothing,3,93.22,279.66,Credit card,Completed,5
CLI0097,Rómulo,Torralba,25,yjuarez@example.net,+34 886292158,Las Palmas,Canary Islands,03720,2022-02-14,2024-03-11,Book,Culture,2,29.71,59.42,PayPal,Completed,2
CLI0098,Felipe,Pomares,65,jesus91@example.org,+34915 572 863,Vigo,Galicia,40396,2024-07-12,2024-09-01,Trousers,Clothing,3,28.28,84.84,Cash,Completed,4
CLI0099,Severo,Hervia,50,umarino@example.net,+34959 03 23 58,Las Palmas,Canary Islands,50235,2022-04-02,2023-10-06,Notebook,Culture,4,11.08,44.32,Bizum,Pending,
CLI0100,Fanny,Sanmartín,34,qcastello@example.com,+34 847 269 350,Barcelona,Catalonia,34114,2024-02-16,2024-09-10,T-shirt,Clothing,3,36.68,110.04,Credit card,Completed,5
CLI0101,René,Mendez,20,giselaamaya@example.com,+34978 23 13 71,Valladolid,Castile and León,09252,2024-07-02,2024-08-13,Monitor,Electronics,3,768.01,2304.03,PayPal,Pending,4
CLI0102,Jacinta,Heras,58,garrigamartirio@example.net,+34 803879097,Vigo,Galicia,09706,2021-09-22,2024-03-22,Perfume,Accessories,5,59.77,298.85,Bizum,Completed,4
CLI0103,Bernardo,Sancho,39,espiridion79@example.com,+34843 20 12 26,Murcia,Region of Murcia,12443,2021-12-26,2023-06-14,Camera,Electronics,1,521.06,521.06,Bizum,Completed,4
CLI0104,Dolores,Oliva,23,ursulaalcalde@example.org,+34 846126624,Malaga,Andalusia,51932,2022-07-22,2024-04-10,Watch,Accessories,1,392.22,392.22,Bank transfer,Completed,
CLI0105,Juan Manuel,Chico,60,juan-bautistacaparros@example.net,+34 800 20 79 50,Vigo,Galicia,13863,2022-12-04,2023-01-02,Backpack,Accessories,5,52.33,261.65,Cash,Pending,2
CLI0106,Jenny,Maldonado,46,amalia13@example.org,+34 824124544,Valladolid,Castile and León,21482,2024-06-17,2024-10-02,Mouse,Electronics,4,42.56,170.24,Credit card,Completed,
CLI0107,Ani,Vazquez,49,jose45@example.net,+34922 622 746,Madrid,Community of Madrid,22278,2023-10-31,2024-12-16,Shoes,Clothing,4,142.04,568.16,Credit card,Cancelled,2
CLI0108,Tomás,Carpio,23,fabricioborrell@example.com,+34946193643,Seville,Andalusia,48122,2022-09-25,2024-02-22,Dress,Clothing,5,79.58,397.9,Credit card,Pending,2
CLI0109,Miguel Ángel,Baquero,63,checaglauco@example.org,+34876888517,Zaragoza,Aragon,18609,2022-05-09,2024-06-05,Keyboard,Electronics,3,169.22,507.66,Bizum,Pending,2
CLI0110,Maxi,Echevarría,56,samucruz@example.org,+34980 43 76 89,Las Palmas,Canary Islands,20663,2021-09-24,2023-07-15,Keyboard,Electronics,4,108.2,432.8,PayPal,Completed,
CLI0111,Amancio,Calzada,35,kvalls@example.com,+34 819 45 67 89,Vigo,Galicia,04424,2024-05-27,2024-06-03,Backpack,Accessories,3,88.35,265.05,Credit card,Completed,5
CLI0112,Encarnación,Pallarès,46,paca12@example.com,+34 981 51 99 92,Las Palmas,Canary Islands,43893,2021-06-15,2023-06-02,Monitor,Electronics,4,799.29,3197.16,Bizum,Completed,5
CLI0113,Loreto,Valle,62,fmiguel@example.org,+34944064133,Seville,Andalusia,16289,2022-10-24,2023-07-13,Headphones,Electronics,3,175.71,527.13,Cash,Pending,
CLI0114,Verónica,Ledesma,63,camilobeltran@example.net,+34886 754 074,Gijon,Asturias,26259,2022-10-12,2024-04-29,Backpack,Accessories,3,52.86,158.58,Bizum,Pending,2
CLI0115,Alfonso,Tena,55,albina16@example.net,+34 886 73 74 92,Malaga,Andalusia,04549,2022-06-24,2024-05-29,Keyboard,Electronics,2,174.37,348.74,Credit card,Pending,
CLI0116,Luis Ángel,Albero,73,pedroprimitiva@example.org,+34973 06 57 73,Alicante,Valencian Community,08381,2021-06-12,2024-02-24,Perfume,Accessories,2,82.12,164.24,PayPal,Completed,3
CLI0117,Ruperto,Peláez,23,hugoaguilera@example.org,+34 842 676 965,Vigo,Galicia,32999,2022-07-23,2024-10-27,Camera,Electronics,4,823.26,3293.04,Bank transfer,Cancelled,3
CLI0118,Eustaquio,Landa,20,pcanet@example.org,+34 842402971,Bilbao,Basque Country,05030,2023-02-22,2024-07-08,Book,Culture,4,27.41,109.64,Credit card,Completed,3
CLI0119,Julieta,Moya,66,rexposito@example.org,+34 886 582 306,Alicante,Valencian Community,23721,2021-08-31,2023-04-11,Jacket,Clothing,4,162.01,648.04,Credit card,Pending,
CLI0120,Leonel,Pallarès,68,jbusquets@example.com,+34 824 15 37 12,Barcelona,Catalonia,29949,2022-01-29,2023-11-29,Dress,Clothing,1,111.31,111.31,Bank transfer,Completed,2
CLI0121,Pacífica,León,68,sandra68@example.org,+34920 63 65 18,Valencia,Valencian Community,10622,2023-08-08,2024-11-29,Jacket,Clothing,5,129.67,648.35,PayPal,Completed,
CLI0122,Matilde,Olivera,55,benignaandrade@example.org,+34 886064553,Valencia,Valencian Community,09190,2023-02-01,2024-05-24,Watch,Accessories,2,222.14,444.28,PayPal,Pending,4
CLI0123,Adora,Contreras,61,emelina26@example.org,+34 943 64 37 63,Las Palmas,Canary Islands,17476,2023-05-13,2023-10-22,Dress,Clothing,4,90.02,360.08,PayPal,Completed,3
CLI0124,Angélica,Calleja,34,xbarranco@example.org,+34 842122628,Palma,Balearic Islands,02952,2024-03-24,2024-12-07,Monitor,Electronics,4,344.45,1377.8,Bank transfer,Completed,4
CLI0125,Andrea,Llopis,54,pilar16@example.com,+34964 04 08 10,Zaragoza,Aragon,45360,2022-08-09,2024-01-03,Trousers,Clothing,5,38.05,190.25,Bank transfer,Completed,4
CLI0126,Gerardo,Sotelo,65,nazaret40@example.net,+34922 24 27 58,Palma,Balearic Islands,49081,2024-04-12,2024-09-12,Dress,Clothing,1,30.73,30.73,Bank transfer,Completed,3
CLI0127,Gilberto,Acero,61,edelmiro33@example.net,+34 824 19 25 78,Valladolid,Castile and León,29097,2022-10-06,2023-09-14,Jacket,Clothing,5,145.49,727.45,PayPal,Completed,1
CLI0128,Valerio,Cañas,41,dorita08@example.org,+34938 07 54 48,Cordoba,Andalusia,25992,2023-11-18,2024-08-16,Dress,Clothing,1,100.97,100.97,PayPal,Completed,3
CLI0129,Chus,Parejo,68,mauraporras@example.org,+34842 805 348,Las Palmas,Canary Islands,46804,2021-11-21,2023-05-16,Notebook,Culture,2,13.31,26.62,Bank transfer,Cancelled,3
CLI0130,Abilio,Chamorro,65,nataliogiron@example.net,+34728166521,Vigo,Galicia,10251,2022-10-11,2023-10-30,Watch,Accessories,4,124.04,496.16,Bank transfer,Completed,1
CLI0131,Fidel,Santamaría,64,melisa76@example.org,+34981 66 52 88,Alicante,Valencian Community,41048,2023-10-14,2024-11-23,Shoes,Clothing,2,122.96,245.92,Bizum,Cancelled,4
CLI0132,Fito,Hervia,41,anibal33@example.org,+34 706316124,Alicante,Valencian Community,17291,2021-06-20,2024-04-10,T-shirt,Clothing,1,17.93,17.93,Bank transfer,Cancelled,3
CLI0133,Isidro,Ponce,57,primitivopalomar@example.net,+34627597601,Gijon,Asturias,08865,2022-04-08,2023-01-26,Trousers,Clothing,4,62.12,248.48,Cash,Completed,2
CLI0134,Dominga,Cruz,37,coboclimaco@example.com,+34 975 420 015,Alicante,Valencian Community,44237,2024-03-24,2024-12-18,Book,Culture,4,9.71,38.84,Bizum,Completed,
CLI0135,Reina,Benavides,24,marisol16@example.org,+34928357173,Seville,Andalusia,20374,2023-01-22,2023-04-29,T-shirt,Clothing,4,19.13,76.52,Cash,Completed,3
CLI0136,Clotilde,Guijarro,55,msierra@example.com,+34879 643 559,Cordoba,Andalusia,13618,2022-04-16,2024-03-05,Book,Culture,5,33.63,168.15,PayPal,Pending,4
CLI0137,Mohamed,Atienza,62,patricioalarcon@example.com,+34885 41 97 88,Malaga,Andalusia,22491,2022-09-22,2023-02-03,Monitor,Electronics,3,415.28,1245.84,PayPal,Pending,2
CLI0138,Ángeles,Campillo,75,anastasia68@example.org,+34 902 99 32 38,Alicante,Valencian Community,05491,2022-07-04,2024-07-11,Watch,Accessories,3,213.21,639.63,Bank transfer,Completed,2
CLI0139,Anselma,Malo,60,bvillalba@example.com,+34884 58 03 75,Seville,Andalusia,09545,2022-10-24,2023-04-04,Trousers,Clothing,4,77.2,308.8,Cash,Completed,
CLI0140,Ricarda,Segovia,31,nsalom@example.com,+34878 80 95 32,Madrid,Community of Madrid,20150,2023-07-24,2024-08-01,Camera,Electronics,2,443.57,887.14,Cash,Completed,2
CLI0141,Anna,Llopis,35,beltranemilia@example.net,+34807522000,Vigo,Galicia,36682,2022-07-24,2023-01-03,Camera,Electronics,5,974.37,4871.85,PayPal,Completed,2
CLI0142,Salomón,Gutierrez,18,wmateos@example.com,+34 961729302,Malaga,Andalusia,31530,2022-09-29,2023-05-15,Trousers,Clothing,1,61.36,61.36,PayPal,Cancelled,2
CLI0143,Ascensión,Rios,25,elba53@example.net,+34927805789,Cordoba,Andalusia,20858,2022-10-27,2024-06-22,Dress,Clothing,4,34.72,138.88,Credit card,Pending,3
